2023-02-05 11:09:33 Tid:63 [Info] Proposer0号开始(Propose阶段):提议=[编号:1, 提议:1]

2023-02-05 11:09:37 Tid:63 [Info] Proposer0号开始(Accept阶段):提议=[编号:1, 提议:1]

2023-02-05 11:09:39 Tid:63 [Info] Proposer0号开始(Propose阶段):提议=[编号:6, 提议:1]

2023-02-05 11:09:43 Tid:63 [Info] Proposer0号开始(Propose阶段):提议=[编号:11, 提议:1]

2023-02-05 11:09:44 Tid:63 [Info] Proposer0号修改了提议:提议=[编号:11, 提议:5]

2023-02-05 11:09:44 Tid:63 [Info] Proposer0号开始(Propose阶段):提议=[编号:11, 提议:5]

2023-02-05 11:09:49 Tid:63 [Info] Proposer0号开始(Accept阶段):提议=[编号:11, 提议:5]

2023-02-05 11:09:50 Tid:63 [Info] Proposer0号开始(Propose阶段):提议=[编号:16, 提议:5]

2023-02-05 11:09:55 Tid:63 [Info] Proposer0号开始(Accept阶段):提议=[编号:16, 提议:5]

2023-02-05 11:09:56 Tid:63 [Info] Proposer0号开始(Propose阶段):提议=[编号:21, 提议:5]

2023-02-05 11:10:00 Tid:63 [Info] Proposer0号开始(Accept阶段):提议=[编号:21, 提议:5]

2023-02-05 11:10:01 Tid:63 [Info] Proposer0号的提议被批准,用时27817MS:最终提议 = [编号:21, 提议:5]

