2023-02-05 11:09:33 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:3, 提议:3]

2023-02-05 11:09:37 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:3, 提议:3]

2023-02-05 11:09:39 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:8, 提议:3]

2023-02-05 11:09:39 Tid:65 [Info] Proposer2号修改了提议:提议=[编号:8, 提议:5]

2023-02-05 11:09:39 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:8, 提议:5]

2023-02-05 11:09:43 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:8, 提议:5]

2023-02-05 11:09:44 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:13, 提议:5]

2023-02-05 11:09:49 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:13, 提议:5]

2023-02-05 11:09:50 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:13, 提议:5]

2023-02-05 11:09:51 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:13, 提议:5]

2023-02-05 11:09:51 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:13, 提议:5]

2023-02-05 11:09:52 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:13, 提议:5]

2023-02-05 11:09:52 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:13, 提议:5]

2023-02-05 11:09:53 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:13, 提议:5]

2023-02-05 11:09:54 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:18, 提议:5]

2023-02-05 11:09:57 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:18, 提议:5]

2023-02-05 11:09:59 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:18, 提议:5]

2023-02-05 11:09:59 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:18, 提议:5]

2023-02-05 11:10:00 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:23, 提议:5]

2023-02-05 11:10:04 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:23, 提议:5]

2023-02-05 11:10:06 Tid:65 [Info] Proposer2号开始(Propose阶段):提议=[编号:28, 提议:5]

2023-02-05 11:10:09 Tid:65 [Info] Proposer2号开始(Accept阶段):提议=[编号:28, 提议:5]

2023-02-05 11:10:10 Tid:65 [Info] Proposer2号的提议被批准,用时37424MS:最终提议 = [编号:28, 提议:5]

