2023-02-05 11:09:33 Tid:64 [Info] Proposer1号开始(Propose阶段):提议=[编号:2, 提议:2]

2023-02-05 11:09:38 Tid:64 [Info] Proposer1号开始(Propose阶段):提议=[编号:7, 提议:2]

2023-02-05 11:09:38 Tid:64 [Info] Proposer1号修改了提议:提议=[编号:7, 提议:5]

2023-02-05 11:09:38 Tid:64 [Info] Proposer1号开始(Propose阶段):提议=[编号:7, 提议:5]

2023-02-05 11:09:42 Tid:64 [Info] Proposer1号开始(Accept阶段):提议=[编号:7, 提议:5]

2023-02-05 11:09:44 Tid:64 [Info] Proposer1号开始(Propose阶段):提议=[编号:12, 提议:5]

2023-02-05 11:09:47 Tid:64 [Info] Proposer1号开始(Accept阶段):提议=[编号:12, 提议:5]

2023-02-05 11:09:48 Tid:64 [Info] Proposer1号开始(Propose阶段):提议=[编号:12, 提议:5]

2023-02-05 11:09:48 Tid:64 [Info] Proposer1号开始(Accept阶段):提议=[编号:12, 提议:5]

2023-02-05 11:09:48 Tid:64 [Info] Proposer1号开始(Propose阶段):提议=[编号:12, 提议:5]

2023-02-05 11:09:49 Tid:64 [Info] Proposer1号开始(Accept阶段):提议=[编号:12, 提议:5]

2023-02-05 11:09:49 Tid:64 [Info] Proposer1号开始(Propose阶段):提议=[编号:12, 提议:5]

2023-02-05 11:09:50 Tid:64 [Info] Proposer1号开始(Accept阶段):提议=[编号:12, 提议:5]

2023-02-05 11:09:51 Tid:64 [Info] Proposer1号开始(Propose阶段):提议=[编号:17, 提议:5]

2023-02-05 11:09:53 Tid:64 [Info] Proposer1号开始(Accept阶段):提议=[编号:17, 提议:5]

2023-02-05 11:09:55 Tid:64 [Info] Proposer1号的提议被批准,用时21842MS:最终提议 = [编号:17, 提议:5]

